id,provincia,total,total_porcentaje,total_IC_95%_minimo,total_IC_95%_maximo,total_seroconversion_IgG+,porcentaje_seroconversion_IgG+,total_IC_95%_minimo_seroconversion_IgG+,total_IC_95%_maximo_seroconversion_IgG+
13642,Álava,727,6.2,4.3,10.7,670,0.8,0.3,1.9
13617,Albacete,1099,11.6,9.1,13.8,1021,0.5,0.2,1.3
13630,Alicante,1671,3.3,2.4,4.7,1477,0.9,0.5,1.5
13596,Almería,946,2.5,1.5,5.6,907,0.9,0.4,2
13608,Ávila,676,8.3,6.5,9.3,627,2.1,1.3,3.5
13633,Badajoz,1599,2.9,2,4.6,1522,0.7,0.4,1.2
13639,Baleares,1327,1.5,0.9,3.3,1258,0.7,0.3,1.3
13622,Barcelona,3803,7.4,6.1,9.2,3544,1,0.7,1.4
13609,Burgos,918,5.4,3.5,8.4,862,0.7,0.4,1.6
13634,Cáceres,1191,4,2.5,4.9,1141,1.3,0.8,2.3
13597,Cádiz,1379,2.4,1.7,2,1291,0.9,0.4,2
13631,Castellón,867,3.8,2.2,5.9,773,0.6,0.2,1.7
13618,Ciudad Real,1175,9.8,7.5,13.6,1112,0.8,0.4,1.5
13598,Córdoba,1111,2.5,1.4,4.5,1074,0.5,0.2,1.1
13635,La Coruña,1243,2.2,1.5,3.2,1165,0.5,0.2,1.1
13619,Cuenca,835,14.2,11.3,17.1,804,1.3,0.8,2.1
13623,Gerona,987,3.1,1.9,3.6,841,1.3,0.7,2.6
13599,Granada,1090,3.3,2.3,5.1,967,0.5,0.3,1.1
13620,Guadalajara,870,10.5,8.5,13.7,783,0.8,0.4,1.7
13643,Guipúzcoa,1019,2.6,1.4,5.3,930,0.6,0.2,1.3
13600,Huelva,1003,1.2,0.6,4,896,0.7,0.3,1.9
13604,Huesca,707,4.7,2.5,9.4,664,0.4,0.1,1.3
13601,Jaén,1046,4.4,2.8,7,1020,0.9,0.4,1.9
13610,León,935,5.8,3.6,9.9,827,0.5,0.2,1.3
13624,Lérida,829,3.3,2.2,7.2,676,0.3,0.1,1.1
13641,La Rioja,1401,3.9,2.8,5.1,1270,0.8,0.4,1.5
13636,Lugo,790,2.5,1.4,3.4,763,0.9,0.2,3.8
13628,Madrid,3703,11.4,10,13.4,2982,1.5,1.1,2.1
13602,Málaga,1453,3.6,2.4,6.3,1373,0.3,0.1,0.9
13646,Murcia,1582,1.6,1.1,2.7,1266,0.2,0.1,0.7
13629,Navarra,1755,6.4,4.9,8.6,1639,1,0.6,1.5
13637,Orense,749,2.2,1.4,6.4,637,0.5,0.2,1.2
13645,Asturias,1711,1.6,1.1,3.3,1486,0.1,0,0.5
13611,Palencia,767,8.2,6.1,8.5,722,2,1,3.7
13640,Las Palmas,1480,2.1,1.4,3.5,1123,0.6,0.2,1.6
13638,Pontevedra,1216,2,1.3,3.9,1165,0.5,0.2,1.2
13612,Salamanca,858,8.2,5.9,13,792,1.1,0.6,2
13640,Santa Cruz de Tenerife,1211,3.3,1.6,4,1007,0.4,0.1,1.3
13607,Cantabria,1660,3.2,2.1,3.8,1454,0.5,0.2,1
13613,Segovia,717,12.6,9.6,14.9,521,0.4,0.1,1.4
13603,Sevilla,1773,2.7,1.9,3.4,1715,0.6,0.3,1.1
13614,Soria,719,14.7,12,15.6,694,1.5,0.7,3.3
13625,Tarragona,997,1.6,1,4.1,969,0.3,0.1,1.3
13605,Teruel,671,3.5,2.2,5.3,639,1.2,0.6,2.2
13621,Toledo,1198,8.8,5.4,12.8,1106,0.6,0.2,1.6
13632,Valencia,2000,2.1,1.5,4.1,1794,0.6,0.3,1.2
13615,Valladolid,1082,7.2,4.9,7.3,1060,1.8,1.1,3.1
13644,Vizcaya,1249,3.7,2.4,5.7,1166,0.4,0.1,1.2
13616,Zamora,640,6.3,4.1,9.5,611,0.6,0.2,1.9
13606,Zaragoza,1300,5.2,3.9,6.9,1243,0.9,0.5,1.5
13626,Ceuta,904,0.5,0.1,1.7,759,0.1,"o,o",0.9
13627,Melilla,925,3.2,2.2,4.6,890,1.5,0.9,2.4
